0,Leffe (belgian blonde ale)
1,"Stone ""Arrogant Bastard"" Ale"
2,Lagunitas Undercover Investigation Shut-Down Ale
3,Anything Flying Dog
4,"Stone ""Ruination"" IPA"
5,Old Rasputin- Imperial Stout
6,"Bear Republic ""Racer 5"" IPA"
7,"New Belgium ""Fat Tire"""
8,Something local and microbrewey
9,Something with a high alcohol content
10,An IPA of any sort
11,"New Belgium ""Mothership"""
12,An ale of any sort
13,Sierra Nevada Pale Ale
14,"Sierra Nevada ""Summerfest"""
15,"New Belgium ""1554"""
16,PBR
17,Stellaaaaaa
18,a barrel of red wine
19,A porter of any sort
20,Kingman homebrew :)
21,A stout of any sort
22,Something dark and chocolatey
23,BLUE MOON
24,Everclear.
25,Blue Moon
26,Guinness
